id,periode,pecahan,value
bpp,13,GK,753.0
bpp,14,GK,312.0
bpp,15,GK,251.0
bpp,16,GK,-427.0
bpp,17,GK,23.0
bpp,18,GK,266.0
bpp,19,GK,773.0
bpp,20,GK,237.0
bpp,21,GK,-467.0
bpp,22,GK,-28.0
bpp,23,GK,-408.0
bpp,24,GK,436.0
bpp,13,GL,-418.0
bpp,14,GL,638.0
bpp,15,GL,314.0
bpp,16,GL,-298.0
bpp,17,GL,-258.0
bpp,18,GL,-266.0
bpp,19,GL,-38.0
bpp,20,GL,-22.0
bpp,21,GL,22.0
bpp,22,GL,-82.0
bpp,23,GL,-202.0
bpp,24,GL,-346.0
bpp,13,HL,-1516.0
bpp,14,HL,-4.0
bpp,15,HL,737.0
bpp,16,HL,-438.0
bpp,17,HL,574.0
bpp,18,HL,188.0
bpp,19,HL,667.0
bpp,20,HL,205.0
bpp,21,HL,-167.0
bpp,22,HL,754.0
bpp,23,HL,314.0
bpp,24,HL,-208.0
bpp,13,IL,-1130.0
bpp,14,IL,246.0
bpp,15,IL,502.0
bpp,16,IL,130.0
bpp,17,IL,344.0
bpp,18,IL,392.0
bpp,19,IL,206.0
bpp,20,IL,-218.0
bpp,21,IL,-752.0
bpp,22,IL,134.0
bpp,23,IL,-42.0
bpp,24,IL,418.0
bpp,13,JL,-732.0
bpp,14,JL,-430.0
bpp,15,JL,22.0
bpp,16,JL,-240.0
bpp,17,JL,52.0
bpp,18,JL,146.0
bpp,19,JL,236.0
bpp,20,JL,-94.0
bpp,21,JL,-382.0
bpp,22,JL,-392.0
bpp,23,JL,-620.0
bpp,24,JL,228.0
bpp,13,KL,370.0
bpp,14,KL,370.0
bpp,15,KL,130.0
bpp,16,KL,-90.0
bpp,17,KL,-190.0
bpp,18,KL,-30.0
bpp,19,KL,-270.0
bpp,20,KL,-110.0
bpp,21,KL,-50.0
bpp,22,KL,410.0
bpp,23,KL,150.0
bpp,24,KL,-170.0
bna,13,AK,-140.0
bna,14,AK,-403.0
bna,15,AK,-157.0
bna,16,AK,-58.0
bna,17,AK,-221.0
bna,18,AK,740.0
bna,19,AK,34.0
bna,20,AK,253.0
bna,21,AK,-333.0
bna,22,AK,178.0
bna,23,AK,-90.0
bna,24,AK,141.0
bna,13,BK,-1198.0
bna,14,BK,268.0
bna,15,BK,242.0
bna,16,BK,336.0
bna,17,BK,182.0
bna,18,BK,362.0
bna,19,BK,-501.0
bna,20,BK,-227.0
bna,21,BK,208.0
bna,22,BK,-32.0
bna,23,BK,384.0
bna,24,BK,-20.0
bna,13,CK,-124.0
bna,14,CK,-388.0
bna,15,CK,-253.0
bna,16,CK,444.0
bna,17,CK,-50.0
bna,18,CK,169.0
bna,19,CK,632.0
bna,20,CK,-586.0
bna,21,CK,-25.0
bna,22,CK,-32.0
bna,23,CK,-63.0
bna,24,CK,-97.0
bna,13,DK,101.0
bna,14,DK,-216.0
bna,15,DK,59.0
bna,16,DK,-60.0
bna,17,DK,-798.0
bna,18,DK,-387.0
bna,19,DK,259.0
bna,20,DK,67.0
bna,21,DK,-8.0
bna,22,DK,127.0
bna,23,DK,13.0
bna,24,DK,-182.0
bna,13,EK,154.0
bna,14,EK,124.0
bna,15,EK,146.0
bna,16,EK,356.0
bna,17,EK,700.0
bna,18,EK,520.0
bna,19,EK,489.0
bna,20,EK,-90.0
bna,21,EK,141.0
bna,22,EK,244.0
bna,23,EK,146.0
bna,24,EK,573.0
bna,13,FK,194.0
bna,14,FK,-34.0
bna,15,FK,-21.0
bna,16,FK,475.0
bna,17,FK,514.0
bna,18,FK,-289.0
bna,19,FK,-9.0
bna,20,FK,148.0
bna,21,FK,750.0
bna,22,FK,-14.0
bna,23,FK,-356.0
bna,24,FK,492.0
bna,13,GK,249.0
bna,14,GK,314.0
bna,15,GK,-313.0
bna,16,GK,30.0
bna,17,GK,-707.0
bna,18,GK,-67.0
bna,19,GK,-6.0
bna,20,GK,998.0
bna,21,GK,-192.0
bna,22,GK,-433.0
bna,23,GK,373.0
bna,24,GK,-752.0
bna,13,GL,-34.0
bna,14,GL,566.0
bna,15,GL,178.0
bna,16,GL,430.0
bna,17,GL,202.0
bna,18,GL,-78.0
bna,19,GL,246.0
bna,20,GL,-38.0
bna,21,GL,-38.0
bna,22,GL,518.0
bna,23,GL,62.0
bna,24,GL,222.0
bna,13,HL,238.0
bna,14,HL,125.0
bna,15,HL,-53.0
bna,16,HL,189.0
bna,17,HL,-124.0
bna,18,HL,155.0
bna,19,HL,-372.0
bna,20,HL,-13.0
bna,21,HL,84.0
bna,22,HL,39.0
bna,23,HL,573.0
bna,24,HL,736.0
bna,13,IL,-54.0
bna,14,IL,418.0
bna,15,IL,454.0
bna,16,IL,6.0
bna,17,IL,-774.0
bna,18,IL,-348.0
bna,19,IL,-194.0
bna,20,IL,176.0
bna,21,IL,432.0
bna,22,IL,34.0
bna,23,IL,-106.0
bna,24,IL,-384.0
bna,13,JL,-24.0
bna,14,JL,-128.0
bna,15,JL,-228.0
bna,16,JL,708.0
bna,17,JL,-134.0
bna,18,JL,-76.0
bna,19,JL,-264.0
bna,20,JL,260.0
bna,21,JL,302.0
bna,22,JL,-232.0
bna,23,JL,-310.0
bna,24,JL,640.0
bna,13,KL,-50.0
bna,14,KL,-190.0
bna,15,KL,70.0
bna,16,KL,-910.0
bna,17,KL,230.0
bna,18,KL,190.0
bna,19,KL,170.0
bna,20,KL,-670.0
bna,21,KL,130.0
bna,22,KL,330.0
bna,23,KL,410.0
bna,24,KL,-90.0
bdg,13,AK,-2325.0
bdg,14,AK,-105.0
bdg,15,AK,204.0
bdg,16,AK,1159.0
bdg,17,AK,2266.0
bdg,18,AK,-1523.0
bdg,19,AK,-619.0
bdg,20,AK,-258.0
bdg,21,AK,158.0
bdg,22,AK,-815.0
bdg,23,AK,299.0
bdg,24,AK,1419.0
bdg,13,BK,-3557.0
bdg,14,BK,-54.0
bdg,15,BK,286.0
bdg,16,BK,888.0
bdg,17,BK,2210.0
bdg,18,BK,-1216.0
bdg,19,BK,-919.0
bdg,20,BK,-631.0
bdg,21,BK,767.0
bdg,22,BK,-55.0
bdg,23,BK,-295.0
bdg,24,BK,721.0
bdg,13,CK,-843.0
bdg,14,CK,-52.0
bdg,15,CK,315.0
bdg,16,CK,549.0
bdg,17,CK,1036.0
bdg,18,CK,198.0
bdg,19,CK,397.0
bdg,20,CK,32.0
bdg,21,CK,227.0
bdg,22,CK,197.0
bdg,23,CK,-371.0
bdg,24,CK,166.0
bdg,13,DK,-297.0
bdg,14,DK,231.0
bdg,15,DK,728.0
bdg,16,DK,1093.0
bdg,17,DK,1327.0
bdg,18,DK,-118.0
bdg,19,DK,-386.0
bdg,20,DK,316.0
bdg,21,DK,41.0
bdg,22,DK,196.0
bdg,23,DK,226.0
bdg,24,DK,514.0
bdg,13,EK,-848.0
bdg,14,EK,223.0
bdg,15,EK,32.0
bdg,16,EK,1009.0
bdg,17,EK,2563.0
bdg,18,EK,1065.0
bdg,19,EK,-1403.0
bdg,20,EK,-278.0
bdg,21,EK,-218.0
bdg,22,EK,-186.0
bdg,23,EK,-261.0
bdg,24,EK,1680.0
bdg,13,FK,-2545.0
bdg,14,FK,151.0
bdg,15,FK,1181.0
bdg,16,FK,1451.0
bdg,17,FK,2282.0
bdg,18,FK,1017.0
bdg,19,FK,-545.0
bdg,20,FK,234.0
bdg,21,FK,567.0
bdg,22,FK,53.0
bdg,23,FK,299.0
bdg,24,FK,863.0
bdg,13,GK,241.0
bdg,14,GK,-175.0
bdg,15,GK,232.0
bdg,16,GK,-141.0
bdg,17,GK,202.0
bdg,18,GK,219.0
bdg,19,GK,291.0
bdg,20,GK,-332.0
bdg,21,GK,-490.0
bdg,22,GK,529.0
bdg,23,GK,-489.0
bdg,24,GK,-156.0
bdg,13,GL,-586.0
bdg,14,GL,-430.0
bdg,15,GL,78.0
bdg,16,GL,-754.0
bdg,17,GL,298.0
bdg,18,GL,566.0
bdg,19,GL,-306.0
bdg,20,GL,62.0
bdg,21,GL,150.0
bdg,22,GL,-854.0
bdg,23,GL,554.0
bdg,24,GL,566.0
bdg,13,HL,-686.0
bdg,14,HL,-201.0
bdg,15,HL,639.0
bdg,16,HL,563.0
bdg,17,HL,355.0
bdg,18,HL,341.0
bdg,19,HL,192.0
bdg,20,HL,403.0
bdg,21,HL,76.0
bdg,22,HL,244.0
bdg,23,HL,588.0
bdg,24,HL,184.0
bdg,13,IL,-754.0
bdg,14,IL,60.0
bdg,15,IL,1038.0
bdg,16,IL,66.0
bdg,17,IL,188.0
bdg,18,IL,-410.0
bdg,19,IL,104.0
bdg,20,IL,650.0
bdg,21,IL,910.0
bdg,22,IL,342.0
bdg,23,IL,-452.0
bdg,24,IL,672.0
bdg,13,JL,192.0
bdg,14,JL,-178.0
bdg,15,JL,204.0
bdg,16,JL,-60.0
bdg,17,JL,-222.0
bdg,18,JL,-166.0
bdg,19,JL,268.0
bdg,20,JL,360.0
bdg,21,JL,456.0
bdg,22,JL,-118.0
bdg,23,JL,528.0
bdg,24,JL,-24.0
bdg,13,KL,250.0
bdg,14,KL,-370.0
bdg,15,KL,-350.0
bdg,16,KL,-630.0
bdg,17,KL,90.0
bdg,18,KL,-478.0
bdg,19,KL,106.0
bdg,20,KL,182.0
bdg,21,KL,374.0
bdg,22,KL,-394.0
bdg,23,KL,70.0
bdg,24,KL,-78.0
bjm,13,AK,-899.0
bjm,14,AK,-111.0
bjm,15,AK,-253.0
bjm,16,AK,-327.0
bjm,17,AK,829.0
bjm,18,AK,-358.0
bjm,19,AK,-571.0
bjm,20,AK,-656.0
bjm,21,AK,85.0
bjm,22,AK,-147.0
bjm,23,AK,264.0
bjm,24,AK,-38.0
bjm,13,BK,-946.0
bjm,14,BK,288.0
bjm,15,BK,78.0
bjm,16,BK,-405.0
bjm,17,BK,711.0
bjm,18,BK,-270.0
bjm,19,BK,10.0
bjm,20,BK,783.0
bjm,21,BK,109.0
bjm,22,BK,-567.0
bjm,23,BK,-158.0
bjm,24,BK,865.0
bjm,13,CK,-543.0
bjm,14,CK,415.0
bjm,15,CK,366.0
bjm,16,CK,-77.0
bjm,17,CK,714.0
bjm,18,CK,95.0
bjm,19,CK,-80.0
bjm,20,CK,-23.0
bjm,21,CK,-51.0
bjm,22,CK,-28.0
bjm,23,CK,-369.0
bjm,24,CK,-214.0
bjm,13,DK,-232.0
bjm,14,DK,214.0
bjm,15,DK,-547.0
bjm,16,DK,-226.0
bjm,17,DK,275.0
bjm,18,DK,-122.0
bjm,19,DK,42.0
bjm,20,DK,269.0
bjm,21,DK,753.0
bjm,22,DK,491.0
bjm,23,DK,251.0
bjm,24,DK,190.0
bjm,13,EK,-974.0
bjm,14,EK,286.0
bjm,15,EK,-341.0
bjm,16,EK,-26.0
bjm,17,EK,216.0
bjm,18,EK,-240.0
bjm,19,EK,-41.0
bjm,20,EK,260.0
bjm,21,EK,395.0
bjm,22,EK,373.0
bjm,23,EK,-527.0
bjm,24,EK,-54.0
bjm,13,FK,-786.0
bjm,14,FK,-161.0
bjm,15,FK,-293.0
bjm,16,FK,-542.0
bjm,17,FK,1264.0
bjm,18,FK,-143.0
bjm,19,FK,-470.0
bjm,20,FK,623.0
bjm,21,FK,58.0
bjm,22,FK,199.0
bjm,23,FK,-85.0
bjm,24,FK,319.0
bjm,13,GK,97.0
bjm,14,GK,219.0
bjm,15,GK,-32.0
bjm,16,GK,211.0
bjm,17,GK,332.0
bjm,18,GK,-234.0
bjm,19,GK,78.0
bjm,20,GK,-173.0
bjm,21,GK,-61.0
bjm,22,GK,-577.0
bjm,23,GK,426.0
bjm,24,GK,409.0
bjm,13,GL,18.0
bjm,14,GL,26.0
bjm,15,GL,-378.0
bjm,16,GL,674.0
bjm,17,GL,138.0
bjm,18,GL,134.0
bjm,19,GL,-258.0
bjm,20,GL,258.0
bjm,21,GL,86.0
bjm,22,GL,262.0
bjm,23,GL,434.0
bjm,24,GL,346.0
bjm,13,HL,-1095.0
bjm,14,HL,-254.0
bjm,15,HL,-64.0
bjm,16,HL,44.0
bjm,17,HL,-17.0
bjm,18,HL,-167.0
bjm,19,HL,-674.0
bjm,20,HL,-254.0
bjm,21,HL,-733.0
bjm,22,HL,148.0
bjm,23,HL,322.0
bjm,24,HL,-125.0
bjm,13,IL,184.0
bjm,14,IL,514.0
bjm,15,IL,-430.0
bjm,16,IL,-538.0
bjm,17,IL,16.0
bjm,18,IL,536.0
bjm,19,IL,-24.0
bjm,20,IL,-262.0
bjm,21,IL,622.0
bjm,22,IL,786.0
bjm,23,IL,60.0
bjm,24,IL,-96.0
bjm,13,JL,-790.0
bjm,14,JL,-176.0
