id,periode,pecahan,value
bna,1,BK,-488
bna,2,BK,18
bna,3,BK,52
bna,4,BK,-14
bna,5,BK,532
bna,6,BK,152
bna,7,BK,-11
bna,8,BK,103
bna,9,BK,58
bna,10,BK,118
bna,11,BK,194
bna,12,BK,210
bna,1,CK,-254
bna,2,CK,2
bna,3,CK,17
bna,4,CK,74
bna,5,CK,120
bna,6,CK,19
bna,7,CK,22
bna,8,CK,4
bna,9,CK,25
bna,10,CK,38
bna,11,CK,47
bna,12,CK,53
bna,1,DK,-89
bna,2,DK,34
bna,3,DK,149
bna,4,DK,210
bna,5,DK,232
bna,6,DK,63
bna,7,DK,129
bna,8,DK,157
bna,9,DK,102
bna,10,DK,77
bna,11,DK,83
bna,12,DK,348
bna,1,EK,-16
bna,2,EK,34
bna,3,EK,216
bna,4,EK,166
bna,5,EK,650
bna,6,EK,190
bna,7,EK,219
bna,8,EK,240
bna,9,EK,171
bna,10,EK,134
bna,11,EK,116
bna,12,EK,463
bna,1,FK,44
bna,2,FK,36
bna,3,FK,169
bna,4,FK,245
bna,5,FK,344
bna,6,FK,61
bna,7,FK,61
bna,8,FK,78
bna,9,FK,160
bna,10,FK,116
bna,11,FK,174
bna,12,FK,142
bna,1,GK,-41
bna,2,GK,4
bna,3,GK,17
bna,4,GK,20
bna,5,GK,23
bna,6,GK,3
bna,7,GK,4
bna,8,GK,8
bna,9,GK,18
bna,10,GK,17
bna,11,GK,23
bna,12,GK,38
bna,1,GL,-164
bna,2,GL,16
bna,3,GL,68
bna,4,GL,80
bna,5,GL,92
bna,6,GL,12
bna,7,GL,16
bna,8,GL,32
bna,9,GL,72
bna,10,GL,68
bna,11,GL,92
bna,12,GL,152
bna,1,HL,48
bna,2,HL,15
bna,3,HL,17
bna,4,HL,59
bna,5,HL,86
bna,6,HL,45
bna,7,HL,58
bna,8,HL,57
bna,9,HL,54
bna,10,HL,49
bna,11,HL,43
bna,12,HL,86
bna,1,IL,-24
bna,2,IL,8
bna,3,IL,4
bna,4,IL,16
bna,5,IL,16
bna,6,IL,42
bna,7,IL,36
bna,8,IL,6
bna,9,IL,2
bna,10,IL,4
bna,11,IL,24
bna,12,IL,6
bna,1,JL,-14
bna,2,JL,2
bna,3,JL,2
bna,4,JL,-2
bna,5,JL,16
bna,6,JL,-6
bna,7,JL,6
bna,8,JL,10
bna,9,JL,-8
bna,10,JL,-2
bna,11,JL,0
bna,12,JL,10
bna,1,KL,0
bna,2,KL,0
bna,3,KL,0
bna,4,KL,0
bna,5,KL,0
bna,6,KL,0
bna,7,KL,0
bna,8,KL,0
bna,9,KL,0
bna,10,KL,0
bna,11,KL,0
bna,12,KL,0
bdg,1,AK,-2455
bdg,2,AK,-35
bdg,3,AK,314
bdg,4,AK,709
bdg,5,AK,2416
bdg,6,AK,-1233
bdg,7,AK,-549
bdg,8,AK,-128
bdg,9,AK,-172
bdg,10,AK,-205
bdg,11,AK,289
bdg,12,AK,1069
bdg,1,BK,-3907
bdg,2,BK,-4
bdg,3,BK,556
bdg,4,BK,758
bdg,5,BK,2040
bdg,6,BK,-1186
bdg,7,BK,-909
bdg,8,BK,-301
bdg,9,BK,-143
bdg,10,BK,-285
bdg,11,BK,235
bdg,12,BK,831
bdg,1,CK,-553
bdg,2,CK,118
bdg,3,CK,145
bdg,4,CK,479
bdg,5,CK,666
bdg,6,CK,88
bdg,7,CK,-213
bdg,8,CK,142
bdg,9,CK,157
bdg,10,CK,107
bdg,11,CK,99
bdg,12,CK,356
bdg,1,DK,-387
bdg,2,DK,161
bdg,3,DK,278
bdg,4,DK,863
bdg,5,DK,1397
bdg,6,DK,72
bdg,7,DK,-616
bdg,8,DK,226
bdg,9,DK,131
bdg,10,DK,286
bdg,11,DK,276
bdg,12,DK,644
bdg,1,EK,-878
bdg,2,EK,413
bdg,3,EK,282
bdg,4,EK,1239
bdg,5,EK,2073
bdg,6,EK,895
bdg,7,EK,-1033
bdg,8,EK,72
bdg,9,EK,-288
bdg,10,EK,364
bdg,11,EK,29
bdg,12,EK,1230
bdg,1,FK,-2735
bdg,2,FK,241
bdg,3,FK,711
bdg,4,FK,1321
bdg,5,FK,2172
bdg,6,FK,987
bdg,7,FK,-895
bdg,8,FK,244
bdg,9,FK,317
bdg,10,FK,183
bdg,11,FK,449
bdg,12,FK,1213
bdg,1,GK,-69
bdg,2,GK,-5
bdg,3,GK,2
bdg,4,GK,9
bdg,5,GK,92
bdg,6,GK,89
bdg,7,GK,1
bdg,8,GK,38
bdg,9,GK,40
bdg,10,GK,19
bdg,11,GK,21
bdg,12,GK,74
bdg,1,GL,-276
bdg,2,GL,-20
bdg,3,GL,8
bdg,4,GL,36
bdg,5,GL,368
bdg,6,GL,356
bdg,7,GL,4
bdg,8,GL,152
bdg,9,GL,160
bdg,10,GL,76
bdg,11,GL,84
bdg,12,GL,296
bdg,1,HL,-636
bdg,2,HL,-11
bdg,3,HL,309
bdg,4,HL,693
bdg,5,HL,1125
bdg,6,HL,191
bdg,7,HL,-338
bdg,8,HL,173
bdg,9,HL,66
bdg,10,HL,-346
bdg,11,HL,-62
bdg,12,HL,334
bdg,1,IL,-264
bdg,2,IL,290
bdg,3,IL,348
bdg,4,IL,456
bdg,5,IL,338
bdg,6,IL,140
bdg,7,IL,314
bdg,8,IL,260
bdg,9,IL,360
bdg,10,IL,232
bdg,11,IL,258
bdg,12,IL,462
bdg,1,JL,82
bdg,2,JL,352
bdg,3,JL,314
bdg,4,JL,390
bdg,5,JL,588
bdg,6,JL,64
bdg,7,JL,118
bdg,8,JL,150
bdg,9,JL,106
bdg,10,JL,112
bdg,11,JL,158
bdg,12,JL,306
bdg,1,KL,0
bdg,2,KL,0
bdg,3,KL,0
bdg,4,KL,0
bdg,5,KL,40
bdg,6,KL,72
bdg,7,KL,116
bdg,8,KL,132
bdg,9,KL,64
bdg,10,KL,76
bdg,11,KL,60
bdg,12,KL,72
bjm,1,AK,-969
bjm,2,AK,-221
bjm,3,AK,-3
bjm,4,AK,-97
bjm,5,AK,299
bjm,6,AK,-368
bjm,7,AK,-121
bjm,8,AK,-146
bjm,9,AK,-105
bjm,10,AK,3
bjm,11,AK,-6
bjm,12,AK,172
bjm,1,BK,-1216
bjm,2,BK,-122
bjm,3,BK,68
bjm,4,BK,205
bjm,5,BK,861
bjm,6,BK,-220
bjm,7,BK,-220
bjm,8,BK,-67
bjm,9,BK,-41
bjm,10,BK,-57
bjm,11,BK,172
bjm,12,BK,475
bjm,1,CK,-313
bjm,2,CK,5
bjm,3,CK,16
bjm,4,CK,33
bjm,5,CK,284
bjm,6,CK,-35
bjm,7,CK,30
bjm,8,CK,7
bjm,9,CK,-1
bjm,10,CK,2
bjm,11,CK,21
bjm,12,CK,36
bjm,1,DK,-602
bjm,2,DK,24
bjm,3,DK,23
bjm,4,DK,44
bjm,5,DK,425
