id,nilai,konversi
CPK,100000,20000
GBK,50000,20000
NBK,20000,20000
CBK,10000,20000
GCK,5000,20000
NCK,2000,20000
SCK,1000,20000
SCL,1000,5000
GPL,500,5000
NPL,200,5000
CPL,100,5000
GCL,50,5000
