id,periode,pecahan,value
A,1,NN,0
B,1,NN,0
C,1,NN,0
D,1,NN,0
E,1,NN,0
A,2,NN,0
B,2,NN,0
C,2,NN,0
D,2,NN,0
E,2,NN,0
A,3,NN,0
B,3,NN,0
C,3,NN,0
D,3,NN,0
E,3,NN,0
