100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-74,-190,-138,-259,-258,-199,-16,-64,29,-32,4,0
1,-10,7,12,11,19,0,0,41,20,20,0
42,56,6,6,6,19,0,0,37,34,34,0
116,148,6,10,9,22,0,0,41,38,32,0
284,370,82,139,235,355,67,268,51,26,34,0
-29,-36,3,2,6,12,3,12,9,6,4,0
-8,-30,3,5,11,18,0,0,26,24,20,0
16,17,-1,1,-8,-2,0,0,38,24,24,0
37,27,5,4,4,8,0,0,32,28,10,0
54,45,4,7,3,14,0,0,32,38,38,0
62,71,6,-1,3,5,0,0,38,18,22,0
149,190,4,6,4,12,0,0,21,22,22,0
