100K,50K,20K,10K,5K,2K,1K,1L,500L,200L,100L,50L
-332,-878,-157,-112,-127,-117,5,20,35,-18,-16,0
11,12,20,33,40,35,3,12,34,22,22,0
52,50,15,9,16,22,14,56,34,14,10,0
81,95,10,14,19,33,21,84,49,44,30,4
185,221,40,100,115,109,12,48,74,36,20,0
93,78,17,30,58,87,10,40,6,2,0,4
41,60,-5,-12,0,7,3,12,19,24,26,0
84,101,9,9,10,15,4,16,24,28,26,4
60,76,0,4,6,16,7,28,45,26,34,0
84,112,10,15,24,40,8,32,63,30,16,4
74,93,7,7,9,13,6,24,11,18,14,0
205,207,28,30,36,46,12,48,50,30,6,0
